1,2019-06-25,2270,964
2,2019-07-27,1099,1930
3,2019-09-17,2147,1285
4,2019-10-25,291,1520
5,2020-02-25,954,525
6,2019-12-14,2216,1449
7,2019-06-10,1030,1889
8,2020-03-14,1710,264
9,2020-04-30,1907,1176
10,2020-01-22,1349,129
11,2019-08-28,1589,276
12,2019-08-25,1259,999
13,2019-06-22,1175,1675
14,2019-06-17,1394,374
15,2019-10-25,48,760
16,2019-10-15,1356,1506
17,2019-06-20,688,1334
18,2019-10-02,1840,1168
19,2019-07-16,2046,786
20,2019-08-05,753,754
21,2019-06-17,194,320
22,2019-11-07,1277,1352
23,2020-01-16,1645,1699
24,2020-04-26,2446,1424
25,2019-06-25,2320,954
26,2020-05-12,1123,627
27,2019-06-17,1011,1559
28,2019-08-23,607,1763
29,2020-05-15,2220,1288
30,2020-01-02,2332,1288
31,2019-10-16,394,1936
32,2019-07-31,209,1716
33,2020-05-23,2285,1624
34,2019-11-27,1687,865
35,2019-11-28,2007,897
36,2019-12-04,1737,690
37,2019-12-20,1456,1697
38,2019-12-22,1395,949
39,2019-07-07,1249,1933
40,2020-05-20,883,1865
41,2019-10-01,2324,1795
42,2019-11-21,721,1111
43,2020-01-31,349,955
44,2019-11-26,1989,1679
45,2019-06-01,1727,596
46,2020-05-18,583,252
47,2019-11-23,1756,1293
48,2019-12-04,277,1486
49,2020-03-16,379,583
50,2019-10-27,991,543
51,2019-11-07,2438,676
52,2019-12-27,2450,1813
53,2019-09-07,1173,1344
54,2019-07-10,78,544
55,2019-12-10,98,579
56,2019-12-21,2026,986
57,2019-10-26,1817,1772
58,2019-11-07,220,540
59,2019-07-29,1329,1429
60,2019-10-24,1195,334
61,2019-07-02,1234,468
62,2019-06-28,1888,384
63,2020-02-15,1343,1476
64,2019-11-30,1802,691
65,2019-07-10,1293,603
66,2019-05-29,2162,1619
67,2019-08-09,2258,1476
68,2019-06-25,367,1504
69,2019-09-12,1466,534
70,2020-04-17,409,813
71,2020-02-27,55,1900
72,2020-04-04,12,1889
73,2019-11-12,1980,63
74,2019-10-02,609,580
75,2019-09-30,1012,1468
76,2020-03-31,2223,1621
77,2020-01-02,2328,222
78,2019-11-18,2227,1762
79,2019-06-14,387,1427
80,2019-11-18,12,642
81,2020-02-25,513,1404
82,2019-05-27,656,1084
83,2019-09-13,196,1322
84,2020-03-16,711,811
85,2019-06-09,221,403
86,2020-01-30,1541,1843
87,2020-03-09,217,26
88,2020-02-23,81,1992
89,2019-07-30,986,582
90,2020-03-09,1289,180
91,2020-05-13,1841,1655
92,2020-04-29,1340,341
93,2020-04-24,600,1298
94,2019-10-11,930,513
95,2020-03-25,1280,18
96,2020-04-01,867,162
97,2019-07-19,1655,468
98,2020-02-15,1051,1058
99,2020-04-14,1791,788
100,2019-12-25,48,954
101,2019-11-16,330,840
102,2019-11-30,461,1048
103,2019-11-24,1484,1949
104,2020-05-18,780,1104
105,2020-01-19,1722,1724
106,2019-11-02,1376,1954
107,2019-06-30,807,1255
108,2019-09-04,157,1381
109,2019-06-16,310,1465
110,2019-10-19,1640,1523
111,2020-01-11,244,1602
112,2020-05-02,697,1993
113,2020-04-18,1562,1902
114,2020-05-20,1546,1871
115,2019-09-18,1702,1429
116,2020-03-21,1081,177
117,2020-04-30,110,456
118,2019-06-22,709,1883
119,2020-01-05,379,117
120,2019-07-17,843,67
121,2019-12-23,2360,955
122,2019-10-26,1012,582
123,2019-10-26,1593,1416
124,2020-02-27,814,1322
125,2019-09-04,882,436
126,2020-03-07,943,1407
127,2019-07-15,993,256
128,2019-08-21,1314,1133
129,2020-05-16,28,1210
130,2019-11-01,1187,1306
131,2019-08-05,1910,58
132,2020-03-12,1988,1186
133,2020-04-26,2226,1184
134,2020-04-13,1400,1759
135,2019-11-27,1374,494
136,2019-08-14,2414,325
137,2020-03-04,1894,441
138,2019-07-04,1500,1999
139,2020-04-04,2306,1919
140,2019-06-27,87,915
141,2020-01-02,1093,129
142,2019-12-22,685,1352
143,2019-11-16,1772,317
144,2019-08-08,803,1552
145,2020-05-14,899,1546
146,2019-06-29,835,1711
147,2019-07-26,1858,1600
148,2020-05-08,322,1878
149,2019-11-05,2241,1638
150,2019-07-03,270,1713
151,2019-06-30,2,1297
152,2020-01-13,166,1136
153,2020-05-21,631,1781
154,2019-08-10,632,1834
155,2020-03-20,420,588
156,2019-10-14,1582,1700
157,2020-03-03,2249,279
158,2019-11-25,179,993
159,2020-01-15,1910,1524
160,2020-04-06,19,444
161,2020-02-06,1066,867
162,2020-01-16,1918,1223
163,2020-02-16,1687,1372
164,2019-06-17,256,1599
165,2020-02-09,268,1737
166,2020-05-07,933,161
167,2020-01-18,1798,1809
168,2020-01-23,1012,77
169,2019-09-13,586,474
170,2019-06-09,2426,998
171,2020-05-19,488,1051
172,2020-01-11,2005,1154
173,2019-12-20,1641,364
174,2019-12-24,762,1310
175,2020-02-16,470,510
176,2019-06-18,2237,974
177,2020-02-27,1381,87
178,2019-11-23,215,1589
179,2019-11-25,1705,246
180,2019-11-24,2184,1549
181,2019-08-11,217,1622
182,2019-10-26,734,698
183,2020-01-17,2207,1035
184,2019-07-12,2365,973
185,2020-03-31,767,1223
186,2019-09-20,45,192
187,2020-03-06,2007,42
188,2019-08-20,1699,498
189,2019-12-21,2161,1729
190,2019-05-27,1558,986
191,2019-11-02,679,16
192,2019-08-16,1930,1226
193,2019-11-20,878,104
194,2019-06-15,1999,661
195,2019-08-26,789,683
196,2019-12-22,283,796
197,2019-06-19,306,915
198,2020-01-02,2085,1540
199,2019-12-11,1533,254
200,2019-07-22,1615,847
201,2019-06-16,1411,265
202,2019-09-21,1887,1473
203,2019-09-13,727,1466
204,2019-06-22,336,64
205,2020-01-04,1820,1056
206,2019-06-25,2127,750
207,2019-11-16,1090,210
208,2019-06-03,2201,1787
209,2019-12-16,1310,1812
210,2020-02-06,718,235
211,2019-09-06,2463,843
212,2019-06-19,513,1435
213,2019-12-11,1111,1027
214,2020-05-07,323,944
215,2019-06-21,832,419
216,2019-05-29,908,552
217,2019-08-26,1043,318
218,2019-07-19,1893,1891
219,2020-01-09,2297,561
220,2019-07-29,2401,1477
221,2020-03-08,1819,1296
222,2020-05-07,578,833
223,2020-04-30,876,897
224,2020-01-14,1461,803
225,2019-06-08,1984,797
226,2019-10-30,1375,466
227,2020-02-27,1213,1455
228,2019-11-25,219,560
