1,566
2,3654
3,2323
4,720
5,4440
6,3346
7,4511
8,1329
9,3012
10,84
11,3642
12,2035
13,2089
14,426
15,2272
16,2396
17,2510
18,4128
19,226
20,175
21,1424
22,220
23,805
24,2698
25,1640
26,4601
27,904
28,2017
29,1419
30,1739
31,4791
32,4279
33,3494
34,2026
35,3579
36,2560
37,4150
38,3643
39,2104
40,3274
41,4802
42,114
43,1154
44,2690
45,1717
46,3606
47,2388
48,3467
49,1780
50,1207
51,4852
52,2739
53,675
54,2299
55,2279
56,4153
57,324
58,2380
59,2290
60,830
61,1553
62,4102
63,1864
64,53
65,718
66,1231
67,2249
68,99
69,4060
70,553
71,2039
72,2625
73,4822
74,500
75,150
76,4141
77,3896
78,4707
79,1249
80,4342
81,812
82,860
83,4400
84,3072
85,2341
86,1883
87,3562
88,1680
89,682
90,2271
91,1723
92,320
93,1785
94,894
95,4734
96,1059
97,3462
98,164
99,798
100,4727
101,330
102,2347
103,474
104,612
105,547
106,4159
107,717
108,2959
109,4037
110,4270
111,845
112,3706
113,2602
114,3876
115,66
116,2010
117,536
118,1024
119,885
120,1297
121,691
122,1271
123,4360
124,4408
125,2599
126,3383
127,484
128,4069
129,1778
130,2424
131,928
132,2372
133,1448
134,487
135,1191
136,3406
137,5000
138,2583
139,4690
140,3754
141,984
142,4519
143,4491
144,2260
145,871
146,1
147,2264
148,3892
149,4913
150,1340
151,1323
152,2994
153,897
154,183
155,3812
156,3266
157,1764
158,1940
159,216
160,4211
161,2217
162,239
163,2514
164,569
165,3004
166,4956
167,917
168,1035
169,2748
170,765
171,2520
172,1005
173,4644
174,3665
175,1675
176,4740
177,479
178,119
179,2832
180,4028
181,3931
182,1843
183,3341
184,2461
185,260
186,1197
187,1117
188,2884
189,4023
190,2949
191,4615
192,2153
193,3845
194,3040
195,4232
196,4895
197,2986
198,1985
199,747
200,558
201,67
202,2457
203,3790
204,942
205,4502
206,4700
207,2088
208,4166
209,3427
210,1007
211,3814
212,353
213,841
214,982
215,2763
216,1531
217,4259
218,4970
219,2689
220,2498
221,2130
222,2178
223,4694
224,4316
225,2230
226,1950
227,963
228,4866
229,1504
230,2679
231,4500
232,3418
233,1995
234,2658
235,1687
236,4389
237,1369
238,1811
239,4018
240,990
241,1740
242,2708
243,2181
244,1108
245,448
246,2414
247,407
248,4939
249,1783
250,3616
251,4461
252,2945
253,2586
254,2441
255,39
256,427
257,2527
258,2653
259,268
260,1614
261,1979
262,1454
263,943
264,3469
265,4831
266,712
267,2760
268,908
269,2057
270,273
271,4752
272,2132
273,2869
274,4947
275,883
276,3249
277,188
278,4215
279,429
280,2373
281,3552
282,3445
283,1714
284,2499
285,2415
286,2711
287,2681
288,837
289,97
290,3599
291,4230
292,4736
293,2103
294,111
295,1915
296,221
297,545
298,4618
299,3612
300,4951
301,1220
302,1665
303,802
304,4221
305,3620
306,1813
307,2334
308,3200
309,852
310,1043
311,3227
312,1045
313,3722
314,3497
315,2246
316,1199
317,2975
318,124
319,394
320,4293
321,2485
322,2068
323,3325
324,2726
325,840
326,3238
327,40
328,3140
329,3600
330,2410
331,4523
332,3725
333,3229
334,4453
335,3135
336,2623
337,4927
338,1989
339,4754
340,1505
341,2531
342,2073
343,877
344,2851
345,2047
346,3221
347,2037
348,1712
349,3703
350,471
351,461
352,3625
353,4595
354,1557
355,401
356,3628
357,3837
358,742
