1,NULL,1869
2,3599,NULL
3,2643,NULL
4,2864,NULL
5,4913,NULL
6,NULL,2806
7,749,NULL
8,NULL,470
9,2568,NULL
10,971,NULL
11,NULL,170
12,NULL,72
13,NULL,2516
14,994,NULL
15,880,NULL
16,1035,NULL
17,NULL,1661
18,4572,NULL
19,4265,NULL
20,4455,NULL
21,NULL,384
22,NULL,901
23,NULL,253
24,4677,NULL
25,NULL,1452
26,NULL,798
27,3360,NULL
28,2305,NULL
29,NULL,411
30,NULL,2785
31,NULL,2678
32,2326,NULL
33,3439,NULL
34,187,NULL
35,4653,NULL
36,NULL,1538
37,124,NULL
38,4668,NULL
39,4193,NULL
40,1457,NULL
41,NULL,2467
42,490,NULL
43,NULL,1565
44,1759,NULL
45,872,NULL
46,NULL,478
47,2587,NULL
48,4229,NULL
49,1557,NULL
50,NULL,326
51,2664,NULL
52,NULL,1410
53,NULL,194
54,1524,NULL
55,NULL,1394
56,3952,NULL
57,3250,NULL
58,306,NULL
59,4258,NULL
60,NULL,2215
61,4212,NULL
62,NULL,1990
63,NULL,1261
64,960,NULL
65,3205,NULL
66,1214,NULL
67,2631,NULL
68,1308,NULL
69,NULL,1239
70,NULL,1529
71,NULL,232
72,NULL,2161
73,NULL,2359
74,1580,NULL
75,NULL,391
76,834,NULL
77,4597,NULL
78,4272,NULL
79,1667,NULL
80,3066,NULL
81,NULL,1540
82,1740,NULL
83,NULL,2193
84,2837,NULL
85,NULL,2595
86,NULL,2828
87,NULL,2332
88,1165,NULL
89,NULL,727
90,NULL,133
91,4321,NULL
92,NULL,1221
93,NULL,2074
94,1200,NULL
95,2206,NULL
96,NULL,2297
97,2674,NULL
98,NULL,465
99,1847,NULL
100,NULL,2040
101,1659,NULL
102,3037,NULL
103,2760,NULL
104,797,NULL
105,3911,NULL
106,2526,NULL
107,3004,NULL
108,NULL,323
109,NULL,2729
110,NULL,2148
111,NULL,519
112,NULL,1834
113,NULL,970
114,105,NULL
115,3854,NULL
116,NULL,922
117,NULL,2234
118,NULL,1109
119,1385,NULL
120,1550,NULL
121,2941,NULL
122,NULL,249
123,2919,NULL
124,NULL,1480
125,NULL,536
126,NULL,2916
127,NULL,2277
128,2239,NULL
129,3596,NULL
130,2773,NULL
131,3792,NULL
132,1840,NULL
133,477,NULL
134,NULL,1767
135,68,NULL
136,3057,NULL
137,NULL,29
138,NULL,713
139,1378,NULL
140,NULL,2198
141,1340,NULL
142,4666,NULL
143,NULL,2794
144,4222,NULL
145,33,NULL
146,NULL,1468
147,3374,NULL
148,3442,NULL
149,NULL,225
150,NULL,1475
151,2849,NULL
152,NULL,852
153,4050,NULL
154,4211,NULL
155,NULL,1200
156,NULL,75
157,4512,NULL
158,NULL,2333
159,NULL,2987
160,NULL,2202
161,NULL,2911
162,819,NULL
163,4620,NULL
164,1624,NULL
165,NULL,514
166,1590,NULL
167,3002,NULL
168,4390,NULL
169,1964,NULL
170,2695,NULL
171,NULL,2939
172,1905,NULL
173,2399,NULL
174,NULL,2005
175,NULL,2139
176,1888,NULL
177,1741,NULL
178,NULL,1058
179,NULL,209
180,209,NULL
181,491,NULL
182,3384,NULL
183,127,NULL
184,3030,NULL
185,NULL,1304
186,NULL,546
187,4661,NULL
188,NULL,1347
189,4536,NULL
190,1384,NULL
191,3869,NULL
192,3711,NULL
193,NULL,61
194,NULL,1132
195,NULL,529
196,NULL,721
197,NULL,580
198,1114,NULL
199,2765,NULL
200,3324,NULL
201,NULL,1506
202,16,NULL
203,2541,NULL
204,NULL,285
205,NULL,240
206,NULL,2840
207,4868,NULL
208,3200,NULL
209,NULL,1085
210,NULL,1766
211,NULL,2133
212,NULL,1654
213,4845,NULL
214,NULL,594
215,2037,NULL
216,2953,NULL
217,NULL,1075
218,NULL,551
219,NULL,1001
220,NULL,2479
221,574,NULL
222,NULL,1300
223,484,NULL
224,NULL,1642
225,NULL,589
226,4484,NULL
